tiempo_ms,pwm,rpm
50,0,0.00
100,0,0.00
150,0,0.00
200,0,0.00
250,0,0.00
300,0,0.00
350,0,0.00
400,0,0.00
450,0,0.00
500,0,0.00
550,0,0.00
600,0,0.00
650,0,0.00
700,0,0.00
750,0,0.00
800,0,0.00
850,0,0.00
900,0,0.00
950,0,0.00
1000,0,0.00
1050,0,0.00
1100,0,0.00
1150,0,0.00
1200,0,0.00
1250,0,0.00
1300,0,0.00
1350,0,0.00
1400,0,0.00
1450,0,0.00
1500,0,0.00
1550,0,0.00
1600,0,0.00
1650,0,0.00
1700,0,0.00
1750,0,0.00
1800,0,0.00
1850,0,0.00
1900,0,0.00
1950,0,0.00
2000,0,0.00
2050,20,0.00
2100,20,0.00
2150,20,0.00
2200,20,0.00
2250,20,0.00
2300,20,0.00
2350,20,0.00
2400,20,0.00
2450,20,0.00
2500,20,0.00
2550,20,0.00
2600,20,0.00
2650,20,0.00
2700,20,0.00
2750,20,0.00
2800,20,0.00
2850,20,0.00
2900,20,0.00
2950,20,0.00
3000,20,0.00
3050,20,0.00
3100,20,0.00
3150,20,0.00
3200,20,0.00
3250,20,0.00
3300,20,0.00
3350,20,0.00
3400,20,0.00
3450,20,0.00
3500,20,2640.00
3550,20,0.00
3600,20,0.00
3650,20,0.00
3700,20,5340.00
3750,20,0.00
3800,20,0.00
3850,20,0.00
3900,20,0.00
3950,20,0.00
4000,20,0.00
4050,40,0.00
4100,40,0.00
4150,40,0.00
4200,40,0.00
4250,40,0.00
4300,40,0.00
4350,40,0.00
4400,40,0.00
4450,40,0.00
4500,40,0.00
4550,40,0.00
4600,40,0.00
4650,40,0.00
4700,40,0.00
4750,40,0.00
4800,40,0.00
4850,40,0.00
4900,40,0.00
4950,40,0.00
5000,40,0.00
5050,40,0.00
5100,40,0.00
5150,40,0.00
5200,40,0.00
5250,40,0.00
5300,40,0.00
5350,40,0.00
5400,40,0.00
5450,40,0.00
5500,40,0.00
5550,40,0.00
5600,40,0.00
5650,40,0.00
5700,40,0.00
5750,40,0.00
5800,40,0.00
5850,40,0.00
5900,40,0.00
5950,40,0.00
6000,40,0.00
6050,60,0.00
6100,60,0.00
6150,60,0.00
6200,60,0.00
6250,60,0.00
6300,60,0.00
6350,60,0.00
6400,60,0.00
6450,60,0.00
6500,60,0.00
6550,60,0.00
6600,60,0.00
6650,60,0.00
6700,60,0.00
6750,60,0.00
6800,60,0.00
6850,60,0.00
6900,60,0.00
6950,60,0.00
7000,60,0.00
7050,60,0.00
7100,60,0.00
7150,60,0.00
7200,60,0.00
7250,60,0.00
7300,60,0.00
7350,60,0.00
7400,60,0.00
7450,60,0.00
7500,60,0.00
7550,60,0.00
7600,60,0.00
7650,60,0.00
7700,60,0.00
7750,60,0.00
7800,60,0.00
7850,60,0.00
7900,60,0.00
7950,60,0.00
8000,60,0.00
8050,80,180.00
8100,80,840.00
8150,80,660.00
8200,80,360.00
8250,80,420.00
8300,80,480.00
8350,80,600.00
8400,80,960.00
8450,80,960.00
8500,80,840.00
8550,80,960.00
8600,80,900.00
8650,80,900.00
8700,80,960.00
8750,80,840.00
8800,80,960.00
8850,80,900.00
8900,80,780.00
8950,80,960.00
9000,80,840.00
9050,80,960.00
9100,80,960.00
9150,80,960.00
9200,80,960.00
9250,80,1080.00
9300,80,960.00
9350,80,960.00
9400,80,960.00
9450,80,960.00
9500,80,900.00
9550,80,480.00
9600,80,120.00
9650,80,0.00
9700,80,0.00
9750,80,0.00
9800,80,0.00
9850,80,0.00
9900,80,0.00
9950,80,0.00
10000,80,0.00
10050,100,0.00
10100,100,240.00
10150,100,660.00
10200,100,1980.00
10250,100,2460.00
10300,100,2280.00
10350,100,2280.00
10400,100,3300.00
10450,100,3480.00
10500,100,3000.00
10550,100,3360.00
10600,100,3600.00
10650,100,3660.00
10700,100,3120.00
10750,100,3240.00
10800,100,2820.00
10850,100,2760.00
10900,100,3000.00
10950,100,2880.00
11000,100,2940.00
11050,100,2940.00
11100,100,2940.00
11150,100,2940.00
11200,100,2940.00
11250,100,2520.00
11300,100,2940.00
11350,100,2520.00
11400,100,2640.00
11450,100,2640.00
11500,100,2940.00
11550,100,3060.00
11600,100,3840.00
11650,100,4620.00
11700,100,4320.00
11750,100,3840.00
11800,100,3900.00
11850,100,3720.00
11900,100,3780.00
11950,100,3240.00
12000,100,3900.00
12050,80,2940.00
12100,80,2940.00
12150,80,2100.00
12200,80,1920.00
12250,80,1980.00
12300,80,2100.00
12350,80,1980.00
12400,80,2040.00
12450,80,2100.00
12500,80,1800.00
12550,80,1740.00
12600,80,1620.00
12650,80,1800.00
12700,80,1800.00
12750,80,1800.00
12800,80,1740.00
12850,80,1860.00
12900,80,2220.00
12950,80,2040.00
13000,80,2160.00
13050,80,2460.00
13100,80,2460.00
13150,80,2220.00
13200,80,2160.00
13250,80,2160.00
13300,80,2160.00
13350,80,1980.00
13400,80,1800.00
13450,80,1800.00
13500,80,1800.00
13550,80,1800.00
13600,80,1800.00
13650,80,1800.00
13700,80,1800.00
13750,80,1740.00
13800,80,1440.00
13850,80,1440.00
13900,80,1440.00
13950,80,1440.00
14000,80,1500.00
14050,60,1260.00
14100,60,480.00
14150,60,0.00
14200,60,0.00
14250,60,0.00
14300,60,0.00
14350,60,0.00
14400,60,0.00
14450,60,0.00
14500,60,0.00
14550,60,0.00
14600,60,0.00
14650,60,0.00
14700,60,0.00
14750,60,0.00
14800,60,0.00
14850,60,0.00
14900,60,0.00
14950,60,0.00
15000,60,0.00
15050,60,0.00
15100,60,0.00
15150,60,0.00
15200,60,60.00
15250,60,180.00
15300,60,0.00
15350,60,0.00
15400,60,0.00
15450,60,0.00
15500,60,0.00
15550,60,0.00
15600,60,0.00
15650,60,0.00
15700,60,0.00
15750,60,0.00
15800,60,0.00
15850,60,0.00
15900,60,0.00
15950,60,0.00
16000,60,0.00
16050,40,0.00
16100,40,0.00
16150,40,0.00
16200,40,0.00
16250,40,0.00
16300,40,0.00
16350,40,0.00
16400,40,0.00
16450,40,0.00
16500,40,0.00
16550,40,0.00
16600,40,0.00
16650,40,0.00
16700,40,0.00
16750,40,0.00
16800,40,0.00
16850,40,0.00
16900,40,0.00
16950,40,0.00
17000,40,0.00
17050,40,0.00
17100,40,0.00
17150,40,0.00
17200,40,0.00
17250,40,0.00
17300,40,0.00
17350,40,0.00
17400,40,0.00
17450,40,0.00
17500,40,0.00
17550,40,0.00
17600,40,0.00
17650,40,0.00
17700,40,0.00
17750,40,0.00
17800,40,0.00
17850,40,0.00
17900,40,0.00
17950,40,0.00
18000,40,0.00
18050,20,0.00
18100,20,0.00
18150,20,0.00
18200,20,0.00
18250,20,0.00
18300,20,0.00
18350,20,0.00
18400,20,0.00
18450,20,0.00
18500,20,0.00
18550,20,0.00
18600,20,0.00
18650,20,0.00
18700,20,0.00
18750,20,0.00
18800,20,0.00
18850,20,0.00
18900,20,0.00
18950,20,0.00
19000,20,0.00
19050,20,0.00
19100,20,0.00
19150,20,0.00
19200,20,0.00
19250,20,0.00
19300,20,0.00
19350,20,0.00
19400,20,0.00
19450,20,0.00
19500,20,0.00
19550,20,0.00
19600,20,0.00
19650,20,0.00
19700,20,0.00
19750,20,0.00
19800,20,0.00
19850,20,0.00
19900,20,0.00
19950,20,0.00
20000,20,0.00
