tiempo_ms,pwm,rpm
50,0,0.0
100,0,0.0
150,0,0.0
200,0,0.0
250,0,0.0
300,0,0.0
350,0,0.0
400,0,0.0
450,0,0.0
500,0,0.0
550,0,0.0
600,0,0.0
650,0,0.0
700,0,0.0
750,0,0.0
800,0,0.0
850,0,0.0
900,0,0.0
950,0,0.0
1000,0,0.0
1050,0,0.0
1100,0,0.0
1150,0,0.0
1200,0,0.0
1250,0,0.0
1300,0,0.0
1350,0,0.0
1400,0,0.0
1450,0,0.0
1500,0,0.0
1550,0,0.0
1600,0,0.0
1650,0,0.0
1700,0,0.0
1750,0,0.0
1800,0,0.0
1850,0,0.0
1900,0,0.0
1950,0,0.0
2000,0,0.0
2050,20,0.0
2100,20,0.0
2150,20,0.0
2200,20,0.0
2250,20,0.0
2300,20,0.0
2350,20,0.0
2400,20,0.0
2450,20,0.0
2500,20,0.0
2550,20,0.0
2600,20,0.0
2650,20,0.0
2700,20,0.0
2750,20,0.0
2800,20,0.0
2850,20,0.0
2900,20,0.0
2950,20,0.0
3000,20,0.0
3050,20,0.0
3100,20,0.0
3150,20,0.0
3200,20,0.0
3250,20,0.0
3300,20,0.0
3350,20,0.0
3400,20,0.0
3450,20,0.0
3500,20,0.0
3550,20,0.0
3600,20,0.0
3650,20,0.0
3700,20,0.0
3750,20,0.0
3800,20,0.0
3850,20,0.0
3900,20,0.0
3950,20,0.0
4000,20,0.0
4050,40,0.0
4100,40,0.0
4150,40,0.0
4200,40,0.0
4250,40,0.0
4300,40,0.0
4350,40,0.0
4400,40,0.0
4450,40,0.0
4500,40,0.0
4550,40,4.0
4600,40,0.0
4650,40,0.0
4700,40,0.0
4750,40,0.0
4800,40,0.0
4850,40,0.0
4900,40,0.0
4950,40,0.0
5000,40,0.0
5050,40,0.0
5100,40,0.0
5150,40,0.0
5200,40,0.0
5250,40,0.0
5300,40,0.0
5350,40,0.0
5400,40,0.0
5450,40,0.0
5500,40,0.0
5550,40,0.0
5600,40,0.0
5650,40,3.0
5700,40,0.0
5750,40,0.0
5800,40,15.0
5850,40,0.0
5900,40,0.0
5950,40,0.0
6000,40,0.0
6050,60,0.0
6100,60,0.0
6150,60,0.0
6200,60,0.0
6250,60,0.0
6300,60,0.0
6350,60,0.0
6400,60,0.0
6450,60,0.0
6500,60,0.0
6550,60,0.0
6600,60,0.0
6650,60,0.0
6700,60,0.0
6750,60,0.0
6800,60,0.0
6850,60,0.0
6900,60,0.0
6950,60,0.0
7000,60,0.0
7050,60,11.0
7100,60,0.0
7150,60,0.0
7200,60,0.0
7250,60,0.0
7300,60,0.0
7350,60,0.0
7400,60,0.0
7450,60,0.0
7500,60,0.0
7550,60,0.0
7600,60,0.0
7650,60,0.0
7700,60,0.0
7750,60,0.0
7800,60,0.0
7850,60,0.0
7900,60,0.0
7950,60,0.0
8000,60,0.0
